molecule_chembl_id,canonical_smiles
CHEMBL3746273,C[C@@H]1Cc2c(ncnc2Oc2ccc3c(ccn3C(=O)Nc3cc(C4(C)CC4)[nH]n3)c2)CN1
CHEMBL3746122,O=C(Nc1cc(C2CC2)on1)n1ccc2cc(Oc3ncnc4c3CNC4)ccc21
CHEMBL185569,Cc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)c1
CHEMBL209861,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4nccs4)n[nH]c2-3)CC1
CHEMBL379372,Nc1ncnc2snc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12
CHEMBL443338,O=C1NCc2cccc(-c3cc4cc(O)ccc4[nH]3)c21
CHEMBL3310053,Cc1ncc([N+](=O)[O-])n1CCOc1ncnc2ccccc12
CHEMBL3656051,COC(=O)c1c[nH]c(-c2cc(Oc3ccc(F)c(NC(=O)c4occc4C)c3)ccn2)c1
CHEMBL148514,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]cc(CCC(=O)O)c2C)c1
CHEMBL507936,Cc1cccc(NC(=O)Nc2ccc(-c3ccc4nccnc4c3N)cc2)c1
CHEMBL469468,Cc1cccc(NC(=O)Nc2ccc(-c3c(C)nc4ccnn4c3N)cc2)c1
CHEMBL510788,Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cnc2ccnn12
CHEMBL452284,Nc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cnc2ccnn12
CHEMBL469456,Cn1cc(-c2ccn3c(N)c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)cnc23)cn1
CHEMBL1242381,COc1ccc(-c2nn(C[C@@H](C)CO)c3ncnc(N)c23)cc1OC
CHEMBL189998,Clc1cccc(Nc2cncc(-c3cncc(NCCCN4CCNCC4)c3)n2)c1
CHEMBL435227,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)O)cc21
CHEMBL1241774,CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21
CHEMBL1242663,CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21
CHEMBL2113191,COCCOc1cc2ncnc(NC3=CC(=O)C(Cl)=C(OCC4CC4)C3=O)c2cc1OC
CHEMBL92279,c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1
CHEMBL175862,CC(C)(Nc1nc(O)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1
CHEMBL380334,Cc1cc(C)c(/C=C2\C(=O)NN=C2c2cnccn2)[nH]1
CHEMBL296475,Cc1cc(C)cc(Nc2nccc(-n3ccnc3C#N)n2)c1
CHEMBL366452,CS(=O)(=O)N1CCN(Cc2ccc(-c3ccn4c(-c5ccccc5)cnc4c3)cc2)CC1
CHEMBL591896,O=C1Cc2cnc3ccnn3c2-c2ncccc2N1
CHEMBL604912,COc1ccc2c(c1)NC(=O)Cc1cnc(Nc3cccc(O)c3)nc1-2
CHEMBL74587,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
CHEMBL380536,FC(F)(F)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1
CHEMBL206136,c1cnc(CCc2ccncc2)c(-c2nnc(Nc3cnc4ccccc4c3)o2)c1
CHEMBL203907,N#Cc1cnc(Nc2cc(N3CCCNCC3)ncn2)s1
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1
CHEMBL92564,COc1ccc(-c2cnc3c(-c4ccccn4)cnn3c2)cc1
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1
CHEMBL221736,O=c1[nH]c2ccccc2cc1-c1cc2ccccc2[nH]1
CHEMBL2071271,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(CC(=O)O)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2
CHEMBL2071210,Cn1cc(Nc2ncc(Cl)c(N[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N)=O)n2)cn1
CHEMBL2071276,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn([C@@H]4CCCNC4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2
CHEMBL374985,Nc1ncc(C#Cc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N3CCCCC3)c2)cn1
CHEMBL3759798,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCC(=O)NO
CHEMBL2088097,Cc1cc(CNc2ncc(Cl)c(Nc3cc(C)[nH]n3)n2)on1
CHEMBL3754556,O=C(Nc1cc(-c2cncnc2)cc(C(F)(F)F)c1)Nc1nccs1
CHEMBL3753811,O=C(Nc1nccs1)Nc1cc(-c2cccnc2)ccc1OC(F)(F)F
CHEMBL3753157,COc1ccc(-c2ccc(OC(F)(F)F)c(NC(=O)Nc3nccs3)c2)cn1
CHEMBL3753532,COc1cc(NC(=O)Nc2ccccn2)cc(-c2c[nH]cn2)c1OC
CHEMBL329457,COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1
CHEMBL197592,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2ccccc2)cc1
CHEMBL188978,CCN(CC)CCCCNc1cc2nc(N)c(-c3cc(OC)cc(OC)c3)cc2cn1
CHEMBL180603,Cc1ccc(Nc2ncnn3cc(C(=O)NCCCn4nccn4)c(C)c23)cc1O
CHEMBL360769,CCOC(=O)c1cn2ncnc(Nc3ccc(C)c(O)c3)c2c1C(C)C
CHEMBL258014,CCCn1c2ccc(/C(C)=N/OC)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3
